hanzi,level,pinyin,definition
残疾,5,can2 ji2,disabled; handicapped; deformity on a person or animal,
残酷,6,can2 ku4,cruel; cruelty,
惭愧,5,can2 kui4,ashamed,
残留,6,can2 liu2,to remain; left over; surplus; remnant,
残忍,6,can2 ren3,cruel; mean; merciless; ruthless,
灿烂,6,can4 lan4,to glitter; brilliant; splendid,
舱,6,cang1,cabin; the hold of a ship or airplane,
苍白,6,cang1 bai2,pale; wan,
仓促,6,cang1 cu4,all of a sudden; hurriedly,
仓库,6,cang1 ku4,depot; storehouse; warehouse,
操场,5,cao1 chang3,playground; sports field; drill ground; CL:個|个[ge4],
操劳,6,cao1 lao2,to work hard; to look after,
操练,6,cao1 lian4,drill; practice,
操心,5,cao1 xin1,to worry about,
操纵,6,cao1 zong4,to operate; to control; to rig; to manipulate,
操作,6,cao1 zuo4,to work; to operate; to manipulate,
嘈杂,6,cao2 za2,noisy; clamorous,
草,3,cao3,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]",
草案,6,cao3 an4,"draft (legislation, proposal etc)",
草率,6,cao3 shuai4,careless; negligent; sloppy; not serious,
册,5,ce4,book; booklet; classifier for books,
策划,6,ce4 hua4,to plot; to scheme; to bring about; to engineer; planning; producer; planner,
测量,6,ce4 liang2,survey; to measure; to gauge; to determine,
策略,6,ce4 lve4,tactics; to be tactful,
侧面,6,ce4 mian4,lateral side; side; aspect; profile,
厕所,5,ce4 suo3,"toilet; lavatory; CL:間|间[jian1],處|处[chu4]",
测验,5,ce4 yan4,"test; to test; CL:次[ci4],個|个[ge4]",
层,3,ceng2,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),
层出不穷,6,ceng2 chu1 bu4 qiong2,more and more emerge; innumerable succession; breeding like flies (idiom),
层次,6,ceng2 ci4,arrangement of ideas; administrative level; level; stage; phase,
曾经,5,ceng2 jing1,once; already; former; previously; ever; (past tense marker used before verb or clause),
插,5,cha1,to insert; stick in; pierce; to take part in; to interfere; to interpose,
差别,5,cha1 bie2,difference; distinction; diversity; disparity,
差距,6,cha1 ju4,disparity; gap,
叉子,5,cha1 zi5,fork; CL:把[ba3],
茶,1,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",
查获,6,cha2 huo4,to investigate and capture (a criminal); to ferret out; to hunt down and arrest,
岔,6,cha4,"fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)",
差,3,cha4,differ from; short of; to lack; poor,
差不多,4,cha4 bu5 duo1,almost; nearly; more or less,
刹那,6,cha4 na4,an instant (Sanskrit: ksana); split second; the twinkling of an eye,
诧异,6,cha4 yi4,flabbergasted; astonished,
拆,5,chai1,to tear open; to tear down; to tear apart; to open,
柴油,6,chai2 you2,diesel fuel,
搀,6,chan1,to assist by the arm; to mix; to support; to sustain,
馋,6,chan2,slander; defame; misrepresent; to speak maliciously,
缠绕,6,chan2 rao4,twisting; to twine; to wind; to pester; to bother,
产品,5,chan3 pin3,goods; merchandise; product; CL:個|个[ge4],
产生,5,chan3 sheng1,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield,
阐述,6,chan3 shu4,to expound (a position); to elaborate (on a topic); to treat (a subject),
